id,title,category,price,bids,views,tags
1,Vintage Rolex Submariner,Watches,12000,47,890,"luxury,vintage,swiss"
2,Abstract Oil Painting 1960s,Art,3400,12,230,"art,vintage,painting"
3,Gibson Les Paul 1959,Music,45000,89,2100,"guitar,vintage,music"
4,Diamond Engagement Ring,Jewelry,8500,34,670,"luxury,jewelry,diamond"
5,Rare Baseball Card Babe Ruth,Sports,22000,61,1450,"sports,collectible,rare"
6,Louis Vuitton Trunk 1920s,Fashion,6700,28,540,"luxury,vintage,fashion"
7,First Edition Hemingway,Books,4100,19,310,"rare,books,collectible"
8,Porsche 911 1973,Cars,85000,102,3800,"vintage,cars,luxury"
9,Cartier Brooch Art Deco,Jewelry,5200,22,410,"luxury,jewelry,art deco"
10,NASA Apollo Mission Patch,Space,1800,55,920,"space,collectible,rare"
11,Tiffany Lamp 1905,Art,9300,38,760,"art,vintage,luxury"
12,Omega Speedmaster 1969,Watches,15000,71,1620,"luxury,vintage,space"
13,Stradivarius Violin Bow,Music,31000,44,1100,"music,rare,collectible"
14,Mickey Mantle Rookie Card,Sports,18000,77,2300,"sports,collectible,rare"
15,Chanel No. 5 Vintage Bottle,Fashion,950,41,580,"fashion,vintage,collectible"
16,WWII German Enigma Machine,History,27000,33,890,"history,rare,collectible"
17,Banksy Signed Print,Art,7600,58,1740,"art,modern,rare"
18,Faberge Egg Replica,Art,4400,16,290,"art,luxury,collectible"
19,Meteorite Fragment Mars,Space,11000,29,640,"space,rare,science"
20,Zippo Vietnam War Lighter,History,2200,63,1050,"history,vintage,collectible"
